latinad_id,display_name,country,state_or_province,city,picture,holding,empresa,latitude,longitude,location_type,open_ooh_venue_type_name_es,es_circuito,cantidad_pantallas_en_circuito,resolution_width,resolution_height,size_width_in_meters,size_height_in_meters,diagonal_size_in_inches,display_working_hours_per_day,slots,slot_length_in_seconds,plays_per_hour,plays_per_day,average_monthly_audience,impact_multiplier,currency,price_per_day,cpm_per_plays,conversion_rate_to_usd,price_per_day_in_usd,cpm_per_plays_in_usd,use_latinad_player,free_slots_percentage
1119,San CristÃ³bal,Guatemala,Guatemala,Mixco,https://publinet-prod.s3.amazonaws.com/displays-pictures/1119-6203bdf34a4fb.jpg,Prime Media & Entretainment,On Going,14.59383912,-90.57861416,outdoor,Autopista,no,,1280,720,3.84,3,192,18,26,8,17.31,311.54,3242199,13.34238271,USD,76.8,144,1,76.8,144,no,-
1120,Metroplaza,Guatemala,Guatemala,Santa Catarina Pinula,https://publinet-prod.s3.amazonaws.com/displays-pictures/1120-6203bdb833b60.jpg,Prime Media & Entretainment,On Going,14.56815105,-90.47203511,outdoor,Autopista,no,,1280,720,6.4,3.84,294,18,26,8,17.31,311.54,4233002,17.41976131,USD,76.8,144,1,76.8,144,no,-
1121,Tikal Futura (Saliendo Roosevelt),Guatemala,Guatemala,Guatemala,https://publinet-prod.s3.amazonaws.com/displays-pictures/1121-6203bbbe2eca3.jpg,Prime Media & Entretainment,On Going,14.62387898,-90.55308153,outdoor,Autopista,no,,1280,720,6.72,3.84,305,18,26,8,17.31,311.54,5674124,23.35030452,USD,76.8,144,1,76.8,144,no,-
1130,MERLIOT,El Salvador,La Libertad,Santa Tecla,https://publinet-prod.s3.amazonaws.com/displays-pictures/1130-5f5a3e5b8619b.jpg,Fran,Urban City,13.67898545,-89.2765847,outdoor,Autopista,no,,800,384,4,2,176,16,50,10,7.2,115.2,784747,4.54135995,USD,30,60,1,30,60,yes,0.7172
1143,PROCERES 2,El Salvador,San Salvador,San Salvador,https://publinet-prod.s3.amazonaws.com/displays-pictures/1143-5f5a3f541ad3d.jpg,Fran,Urban City,13.68353312,-89.22521852,outdoor,Autopista,no,,1280,384,12,4,498,16.5,40,10,9,148.5,575314,3.22847362,USD,30,60,1,30,60,yes,0.7141
1146,SANTA ELENA 1,El Salvador,La Libertad,Antiguo CuscatlÃ¡n,https://publinet-prod.s3.amazonaws.com/displays-pictures/1146-60da06af3d75b.jpg,Fran,Urban City,13.67496184,-89.25257687,outdoor,Autopista,no,,1230,160,4,3,197,16,50,10,7.2,115.2,261585,1.51380208,USD,30,60,1,30,60,yes,0.8053
1161,HEROES,El Salvador,San Salvador Department,San Salvador,https://publinet-prod.s3.amazonaws.com/displays-pictures/1161-5f5a40c9af74a.jpg,Fran,Urban City,13.70185038,-89.21587279,outdoor,Autopista,no,,800,288,4,2,176,16,50,10,7.2,115.2,151921,0.87917245,USD,30,60,1,30,60,yes,0.7276
1162,PROCERES 1,El Salvador,La Libertad Department,San Salvador,https://publinet-prod.s3.amazonaws.com/displays-pictures/1162-5f5a42b5c06c7.jpg,Fran,Urban City,13.68252439,-89.24331072,outdoor,Autopista,no,,546,186,12,3,487,16,50,10,7.2,115.2,633159,3.66411458,USD,30,60,1,30,60,yes,0.7072
1167,ARAUJO,El Salvador,San Salvador Department,San Salvador,https://publinet-prod.s3.amazonaws.com/displays-pictures/1167-609e91bf1157d.jpg,Fran,Urban City,13.69268147,-89.23003972,outdoor,Autopista,no,,2000,300,20,2,791,16,40,10,9,144,472429,2.73396412,USD,30,60,1,30,60,yes,0.5244
1168,CONSTITUCION,El Salvador,San Salvador,Mejicanos,https://publinet-prod.s3.amazonaws.com/displays-pictures/1168-5f5a41cd712b7.jpg,Fran,Urban City,13.7320818,-89.2040966,outdoor,Autopista,no,,1664,384,16,3,641,16,50,10,7.2,115.2,494392,2.86106481,USD,30,60,1,30,60,yes,0.707
1171,SANTA ELENA 2,El Salvador,La Libertad,Antiguo CuscatlÃ¡n,https://publinet-prod.s3.amazonaws.com/displays-pictures/1171-60da058173fd9.jpg,Fran,Urban City,13.66213169,-89.25367207,outdoor,Autopista,no,,960,576,4,3,197,16,40,10,9,144,193088,1.1174074,USD,30,60,1,30,60,yes,0.5518
1293,Una Idea led! La Playosa,Argentina,CÃ³rdoba,General San MartÃ­n,https://publinet-prod.s3.amazonaws.com/displays-pictures/1293-60e06acaa6213.jpg,LatinAd,Una Idea!,-32.10010879,-63.03137138,outdoor,Autopista,no,,384,192,4,2,176,17.5,65,10,5.54,96.92,112624,0.59589417,ARS,400,4126.983714,349.6877,1.143877694,11.80191272,yes,0
1532,SAN MIGUEL,El Salvador,San Miguel,,https://publinet-prod.s3.amazonaws.com/displays-pictures/1532-5fd77e9c939f6.jpg,Fran,Urban City,13.4626287,-88.16546745,outdoor,Autopista,no,,576,288,5.76,2.88,254,16,40,10,9,144,227973,1.31928819,USD,30,60,1,30,60,yes,0.7341
1540,Bialet Masse,Argentina,CÃ³rdoba,ColÃ³n,https://publinet-prod.s3.amazonaws.com/displays-pictures/1540-6058dc5abb813.jpg,LatinAd,7Sentidos,-31.30401161,-64.28827951,outdoor,Ciudad,no,,480,256,5,3.2,234,18,35.9998,15,6.67,120,747552,5.76814814,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0.1986
1649,PD Palmeras/Evitamiento - La Molina,PerÃº,Provincia de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/1649-6053a1be3cecf.jpg,GPO Holding,GPO Vallas PE,-12.07339946,-76.97346826,outdoor,Ciudad,no,,1280,358,10,2.8,409,19,12,10,30,570,2579818,12.57221247,USD,64,93.6,1,63.99996,93.6,no,-
1846,DIG 004 - PanamÃ¡ (Surquillo),PerÃº,Provincia de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/1846-607f432f926a5.jpg,LatinAd,Capi publicidad,-12.10672968,-77.01839035,outdoor,Autopista,no,,640,320,10,5,440,24,9,8,50,1200,780220,2.40808642,USD,34.2,72,1,34.2,72,yes,0.8888
1847,DIG 003 - CaquetÃ¡ (RÃ­mac),PerÃº,Gobierno Regional de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/1847-607f43e5e73bf.jpg,LatinAd,Capi publicidad,-12.02898939,-77.04400509,outdoor,Autopista,no,,720,360,12,6,528,24,9,8,50,1200,2704889,8.34842283,USD,34.2,72,1,34.2,72,yes,0.3873
1848,DIG 002 - Palao (SMP),PerÃº,Provincia de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/1848-607f4464f1354.jpg,LatinAd,Capi publicidad,-12.01868713,-77.05979852,outdoor,Autopista,no,,720,360,12,6,528,24,9,8,50,1200,3675041,11.34271913,USD,34.2,72,1,34.2,72,yes,0.4143
1887,Av Pershing â€ Lima,PerÃº,Provincia de Lima,Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/1887-60913c2c6fb8e.jpg,LatinAd,Latin American Outdoors,-12.09289712,-77.05319428,outdoor,Autopista,no,,576,288,6,3,264,19,8,8,56.25,1068.75,1362227,5.3108265,USD,45,72,1,45,72,yes,0
1889,Av. JesÃºs - Arequipa,PerÃº,Arequipa,Arequipa,https://publinet-prod.s3.amazonaws.com/displays-pictures/1889-609139dc1e7f8.jpg,LatinAd,Latin American Outdoors,-16.4029813,-71.5163782,outdoor,Autopista,no,,576,288,6,3,264,19,8,8,56.25,1068.75,624120,2.43321637,USD,45,72,1,45,72,yes,0
1890,"C.C La Rambla, BreÃ±a - Lima",PerÃº,Provincia de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/1890-60913b9893735.jpg,LatinAd,Latin American Outdoors,-12.06576907,-77.04637211,outdoor,Ciudad,no,,576,288,6,3,264,19,8,8,56.25,1068.75,1840471,7.17532554,USD,45,72,1,45,72,yes,0.0006
1891,C.C. El Quinde - Ica,PerÃº,Ica,Ica,https://publinet-prod.s3.amazonaws.com/displays-pictures/1891-60913d18f2afa.jpg,LatinAd,Latin American Outdoors,-14.07428221,-75.73870585,outdoor,Autopista,no,,576,288,6,3,264,19,8,8,56.25,1068.75,751301,2.92904873,USD,45,72,1,45,72,yes,0.3883
1892,Av Bolognesi - Chiclayo,PerÃº,Lambayeque,Chiclayo,https://publinet-prod.s3.amazonaws.com/displays-pictures/1892-60913de7b9f77.jpg,LatinAd,Latin American Outdoors,-6.77572597,-79.83721392,outdoor,Autopista,no,,576,288,6,3,264,19,8,8,56.25,1068.75,1132092,4.41361403,USD,45,72,1,45,72,yes,0.2642
1893,Av. Balta - Chiclayo,PerÃº,Lambayeque,Chiclayo,https://publinet-prod.s3.amazonaws.com/displays-pictures/1893-60913e9213378.jpg,LatinAd,Latin American Outdoors,-6.77619423,-79.83886555,outdoor,Autopista,no,,576,288,6,3,264,19,8,8,56.25,1068.75,715682,2.79018323,USD,45,72,1,45,72,yes,0.1231
1894,C.C. Minka - Callao,PerÃº,Callao,Callao,https://publinet-prod.s3.amazonaws.com/displays-pictures/1894-609140fd25867.jpg,LatinAd,Latin American Outdoors,-12.04917171,-77.10828694,outdoor,Autopista,no,,576,288,6,3,264,19,8,8,56.25,1068.75,898276,3.50205068,USD,45,72,1,45,72,yes,0.1287
1895,Av. AviaciÃ³n- Surquillo,PerÃº,Provincia de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/1895-609141aa58b00.jpg,LatinAd,Latin American Outdoors,-12.11247713,-77.00029058,outdoor,Autopista,no,,640,320,10.2,5.1,449,19,8,8,56.25,1068.75,764510,2.98054581,USD,45,72,1,45,72,yes,0
1896,Av. Sanchez Cerro - Piura,PerÃº,Piura,Piura,https://publinet-prod.s3.amazonaws.com/displays-pictures/1896-6091429bc2bd5.jpg,LatinAd,Latin American Outdoors,-5.181993,-80.657079,outdoor,Autopista,no,,576,288,6,3,264,19,8,8,56.25,1068.75,1424996,5.55553996,USD,45,72,1,45,72,yes,0
1897,Av. EspaÃ±a - Trujillo,PerÃº,La Libertad,Trujillo,https://publinet-prod.s3.amazonaws.com/displays-pictures/1897-60914351ea502.jpg,LatinAd,Latin American Outdoors,-8.1161958,-79.0260321,outdoor,Ciudad,no,,1152,576,12,6,528,19,8,8,56.25,1068.75,681230,2.65586744,USD,45,72,1,45,72,yes,0.0113
1982,Pantalla Belgica B,PerÃº,Provincia de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/1982-647e4d45070e7.jpg,LatinAd,DARDOS OOH,-12.07313429,-77.03025351,outdoor,Autopista,no,,720,360,12,6,528,18,10,10,36,648,404608,2.08131687,USD,60,96,1,60,96,yes,0.5382
1984,Pantalla SJL,PerÃº,Provincia de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/1984-60c395eae5023.jpg,LatinAd,DARDOS OOH,-12.0061161,-77.0060126,outdoor,Autopista,no,,960,450,10,5,440,18,13,10,27.69,498.46,2048593,10.53802983,USD,60,96,1,60,96,yes,0.3218
1985,Pantalla Lince,PerÃº,Municipalidad Metropolitana de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/1985-60c390e1b7562.jpg,LatinAd,DARDOS OOH,-12.0786203,-77.0352682,outdoor,Autopista,no,,400,480,7,8,419,18,11,10,32.73,589.09,982501,5.05401748,USD,60,96,1,60,96,yes,0.6624
1986,Pantalla SMP,PerÃº,Municipalidad Metropolitana de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/1986-60c3908db7b6d.jpg,LatinAd,DARDOS OOH,-12.03087543,-77.05619364,outdoor,Autopista,no,,720,360,12,6,528,18,10,10,36,648,4999731,25.71878086,USD,60,96,1,60,96,yes,0.3174
1987,Pantalla Surco,PerÃº,Provincia de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/1987-620c1d7f69c09.jpg,LatinAd,DARDOS OOH,-12.13005899,-76.98139948,outdoor,Autopista,no,,720,360,12,6,528,18,10,10,36,648,823879,4.23806069,USD,60,96,1,60,96,yes,0.429
1988,Pantalla San Isidro,PerÃº,Provincia de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/1988-63b2e3f32cc5e.jpg,LatinAd,DARDOS OOH,-12.09668542,-77.02450479,outdoor,Autopista,no,,720,360,12,6,528,18,10,10,36,648,1579611,8.12557098,USD,60,96,1,60,96,yes,0.2747
1995,Chacras,Argentina,Mendoza,LujÃ¡n de Cuyo,https://publinet-prod.s3.amazonaws.com/displays-pictures/1995-60db44cf011af.jpg,10 Media,10 Media,-32.99347637,-68.88683685,outdoor,Ciudad,no,,480,480,5,5,278,15.5,36,10,10,155,414581,2.476589,ARS,1600,9600,349.6877,4.57551112,27.45306741,yes,0.1701
2006,Gran Formato Villa Carlos Paz,Argentina,CÃ³rdoba,Punilla,https://publinet-prod.s3.amazonaws.com/displays-pictures/2006-61b9ec27c96bc.jpg,LatinAd,7Sentidos,-31.420903,-64.4988123,outdoor,Ciudad,no,,1920,1080,9,5,405,18,35.9998,15,6.67,120,455205,3.51238425,ARS,5200,43333.11633,349.6877,14.8704114,123.9194754,yes,0.1298
2011,Sarmiento y Belgrano,Argentina,Mendoza,Capital,https://publinet-prod.s3.amazonaws.com/displays-pictures/2011-61156a5f44620.jpg,10 Media,10 Media,-32.88878405,-68.84962297,outdoor,Ciudad,no,,384,384,4,4,223,18.5,40,10,9,166.5,119807,0.59963463,ARS,2000,9600,349.6877,5.719389158,27.45306741,yes,0.5955
2014,Primavera,PerÃº,Provincia de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/2014-60f02e6a91445.jpg,LatinAd,Brapex,-12.11157491,-76.99325295,outdoor,Ciudad,no,,576,288,12,6,528,24,10,7,51.43,1234.29,1157232,3.12524073,USD,80,72,1,80.00004,72,no,-
2098,XELA 2,Guatemala,Quetzaltenango,Quetzaltenango,https://publinet-prod.s3.amazonaws.com/displays-pictures/2098-6203b8d8650dc.jpg,Prime Media & Entretainment,TEDI,14.84992093,-91.53676087,outdoor,Autopista,no,,1280,720,7.6,4.2,342,18,26,8,17.31,311.54,4728379,19.45834979,USD,76.8,144,1,76.8,144,no,-
2174,Gostreet LED,Argentina,San Juan,Capital,https://publinet-prod.s3.amazonaws.com/displays-pictures/2174-62a87a1a57a9c.jpg,LatinAd,street comunicacion srl,-31.53831926,-68.56132865,outdoor,Autopista,no,,1080,600,9,5,405,20,25,12,12,240,60839,0.33799444,ARS,3600,72000,349.6877,10.29490028,205.8980056,yes,0.2714
2204,SUR-010 A,PerÃº,Provincia de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/2204-611a703ba6075.jpg,LatinAd,JMT Outdoors,-12.0980567,-76.9732302,outdoor,Autopista,no,,1280,720,12.4,6.2,546,18,10,7,51.43,925.71,809924,2.916393,USD,82.28,72,1,82.28004,72,no,-
2205,LMNA-005,PerÃº,Provincia de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/2205-611a71beaf081.jpg,LatinAd,JMT Outdoors,-12.0908436,-76.951149,outdoor,Ciudad,no,,1280,720,10.24,4.8,445,18,10,7,51.43,925.71,528219,1.90202314,USD,82.28,72,1,82.28004,72,no,-
2307,Av. Corrientes y Av. Pueyrredon,Argentina,Buenos Aires,Comuna 3,https://publinet-prod.s3.amazonaws.com/displays-pictures/2307-615f37d1ab01d.jpg,Global,Global Argentina,-34.6045291,-58.4054749,outdoor,Ciudad,no,,960,600,7.68,4.8,357,16,20,15,12,192,911482,7.91217014,ARS,10000,52083.33313,349.6877,28.5969451,148.9424224,yes,0.4255
2351,Pantalla LED Av Scalabrini Ortiz 293,Argentina,Buenos Aires,Comuna 15,https://publinet-prod.s3.amazonaws.com/displays-pictures/2351-613132fb6dff0.jpg,Grupo VÃ­a,GV - Pantallas Outdoor,-34.6000961,-58.4388331,outdoor,Ciudad,no,,1024,640,8,5,371,16,12,10,30,480,1095419,6.33923032,ARS,24136,100500,349.6877,69.02158686,287.3992994,yes,0.1086
2362,25 de Mayo,Paraguay,AsunciÃ³n,AsunciÃ³n,https://publinet-prod.s3.amazonaws.com/displays-pictures/2362-6140a5a102159.jpg,LatinAd,prismavision s.r.l.,-25.30134915,-57.59405255,outdoor,Ciudad,no,,1248,576,12.48,5.76,541,19.5,12,10,30,585,431074,2.04688509,USD,60,102.5641026,1,60,102.5641026,no,-
2672,Acceso Sur,Argentina,Mendoza,LujÃ¡n de Cuyo,https://publinet-prod.s3.amazonaws.com/displays-pictures/2672-63f634a409f5a.jpg,10 Media,10 Media,-33.01240459,-68.85558518,outdoor,Autopista,no,,480,240,10,5,440,16,36,10,10,160,1544492,8.9380324,ARS,2000,12500.00025,349.6877,5.719389158,35.74618224,yes,0.6186
2684,Una Idea led! Pozo del Molle,Argentina,CÃ³rdoba,RÃ­o Segundo,https://publinet-prod.s3.amazonaws.com/displays-pictures/2684-616b5b353df00.jpg,LatinAd,Una Idea!,-32.01910463,-62.91900666,outdoor,Ciudad,no,,384,192,4,2,176,17.5,65,10,5.54,96.92,120111,0.63550793,ARS,400,4126.983714,349.6877,1.143877694,11.80191272,yes,0
2743,Expreso 27 Feb. con Ortega y Gasset,RepÃºblica Dominicana,Distrito Nacional,Santo Domingo de Guzman,https://publinet-prod.s3.amazonaws.com/displays-pictures/2743-6167288d03ea4.jpg,LatinAd,RentalVision Publicidad,18.4725406,-69.9191102,outdoor,Autopista,no,,1100,360,6.71,1.98,275,18,15,10,24,432,2167066,11.14745884,USD,34,78.70361111,1,33.99996,78.70361111,no,-
3772,AD-D1190 ATE,PerÃº,Provincia de Lima,Provincia de Lima,https://publinet-prod.s3.amazonaws.com/displays-pictures/3772-61b8df0d5719b.jpg,ALAC,Alac ooh,-12.03761004,-76.93171874,outdoor,Autopista,no,,768,384,12,6,528,16,13,7,39.56,632.97,877935,3.55644965,USD,72.408,114,1,72.408,114,no,-
3900,Vista Muxbal (subiendo CAES),Guatemala,Guatemala,Santa Catarina Pinula,https://publinet-prod.s3.amazonaws.com/displays-pictures/3900-61d8a3a5d5233.jpg,Prime Media & Entretainment,Carteleras Digitales,14.56005245,-90.47273157,outdoor,Autopista,no,,1280,720,6.72,3.84,305,18,26,8,17.31,311.54,3602488,14.8250535,USD,76.8,144,1,76.8,144,no,-
3901,Eskala CAES KM 14.5,Guatemala,Guatemala,Santa Catarina Pinula,https://publinet-prod.s3.amazonaws.com/displays-pictures/3901-61d8a5ad9d1f7.jpg,Prime Media & Entretainment,Carteleras Digitales,14.559219,-90.46163583,outdoor,Autopista,no,,1280,720,3.87,2.88,190,18,26,8,17.31,311.54,3422357,14.08377366,USD,76.8,144,1,76.8,144,no,-
3902,Eskala Roosevelt (rumbo a antigua),Guatemala,Guatemala,Mixco,https://publinet-prod.s3.amazonaws.com/displays-pictures/3902-61d8a74813b46.jpg,Prime Media & Entretainment,Carteleras Digitales,14.6367133,-90.5823884,outdoor,Autopista,no,,700,200,10.56,2.88,431,18,26,8,17.31,311.54,5674124,23.35030452,USD,76.8,144,1,76.8,144,no,-
4019,Rio Tercero,Argentina,CÃ³rdoba,Tercero Arriba,https://publinet-prod.s3.amazonaws.com/displays-pictures/4019-622228ce4a238.jpg,LatinAd,7Sentidos,-32.1738791,-64.1100426,outdoor,Ciudad,no,,480,256,1,1,56,18,35.9998,15,6.67,120,232448,1.79358024,ARS,3596,29966.51717,349.6877,10.28346161,85.69508498,yes,0.1445
4388,Marcos Juarez,Argentina,CÃ³rdoba,Marcos JuÃ¡rez,https://publinet-prod.s3.amazonaws.com/displays-pictures/4388-6262cebabaf89.jpg,LatinAd,7Sentidos,-32.6971939,-62.1028943,outdoor,Ciudad,no,,480,288,5,3.5,240,18,35.9998,15,6.67,120,217381,1.67732253,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0.1886
6357,Arroyito,Argentina,CÃ³rdoba,San Justo,https://publinet-prod.s3.amazonaws.com/displays-pictures/6357-6287d64406276.jpg,LatinAd,7Sentidos,-31.4241795,-63.0523957,outdoor,Autopista,no,,768,384,8,4.5,361,18,35.9998,15,6.67,120,145202,1.12038579,ARS,3596,120000,349.6877,10.28346161,343.1633426,yes,0.1795
6681,Villa Dolores,Argentina,CÃ³rdoba,San Javier,https://publinet-prod.s3.amazonaws.com/displays-pictures/6681-62a755997c570.jpg,LatinAd,7Sentidos,-31.9457601,-65.1897067,outdoor,Ciudad,no,,480,288,5,3.5,240,18,35.9998,15,6.67,120,509863,3.93412808,ARS,3596,29966.51717,349.6877,10.28346161,85.69508498,yes,0.1789
7460,Valla Calle 127,Colombia,BogotÃ¡,,https://publinet-prod.s3.amazonaws.com/displays-pictures/7460-62f46b4674188.jpg,LatinAd,Efectimedios 2.0,4.7057476,-74.0506224,outdoor,Autopista,no,,2816,896,11,3.5,454,20,5,10,72,1440,1732095,8.01895833,COP,1499400,1041250,4067.62894,368.617694,255.9845097,no,-
8502,P1310 Americo Vespucio / SerafÃ­n Zamora (Acceso Mall Plaza Vespucio),Chile,RegiÃ³n Metropolitana,Santiago,https://publinet-prod.s3.amazonaws.com/displays-pictures/8502-6310def314dc1.jpg,OOH Chile,Flesad,-33.5197466,-70.5973966,outdoor,Autopista,no,,1152,384,12.28,4.09,510,17,12,10,30,510,610255,3.32382897,CLP,39000,78000,903.21168,43.17924675,86.3584935,yes,0
8525,Rio Ceballos,Argentina,CÃ³rdoba,ColÃ³n,https://publinet-prod.s3.amazonaws.com/displays-pictures/8525-6331dc266494c.jpg,LatinAd,7Sentidos,-31.1751564,-64.301727,outdoor,Ciudad,no,,480,288,4.8,2.88,220,18,35.9998,15,6.67,120,951437,7.34133488,ARS,3596,29966.51717,349.6877,10.28346161,85.69508498,yes,0.1036
14483,Puente Alto,Chile,RegiÃ³n Metropolitana,Cordillera,https://publinet-prod.s3.amazonaws.com/displays-pictures/14483-643ea69209d88.jpg,OOH Chile,Imagen Publicidad,-33.5876158,-70.5800259,outdoor,Ciudad,no,,768,512,6,4,284,19,13,10,27.69,526.15,709471,3.45746101,CLP,48000,96000,903.21168,53.14368831,106.2873766,yes,0.7686
14484,Departamental,Chile,RegiÃ³n Metropolitana,Santiago,https://publinet-prod.s3.amazonaws.com/displays-pictures/14484-643ea74abceea.jpg,OOH Chile,Imagen Publicidad,-33.5081235,-70.6161351,outdoor,Ciudad,no,,576,384,5,3,230,19,13,10,27.69,526.15,379835,1.85104775,CLP,48000,96000,903.21168,53.14368831,106.2873766,yes,0.1531
14485,Salvador Allende,Chile,RegiÃ³n Metropolitana,Santiago,https://publinet-prod.s3.amazonaws.com/displays-pictures/14485-643ea774a5278.jpg,OOH Chile,Imagen Publicidad,-33.4967676,-70.6165893,outdoor,Ciudad,no,,576,384,5,3,230,19,13,10,27.69,526.15,518233,2.52550194,CLP,48000,96000,903.21168,53.14368831,106.2873766,yes,0.5377
14486,Gran Avenida,Chile,RegiÃ³n Metropolitana,Santiago,https://publinet-prod.s3.amazonaws.com/displays-pictures/14486-643ea7a073fa6.jpg,OOH Chile,Imagen Publicidad,-33.4982043,-70.6534173,outdoor,Ciudad,no,,770,366,6,3,264,19,13,10,27.69,526.15,559777,2.72795808,CLP,48000,96000,903.21168,53.14368831,106.2873766,yes,0.6913
14487,Vespucio,Chile,RegiÃ³n Metropolitana,Santiago,https://publinet-prod.s3.amazonaws.com/displays-pictures/14487-643ea7f1c87da.jpg,OOH Chile,Imagen Publicidad,-33.5341772,-70.6735638,outdoor,Autopista,no,,700,500,7,5,339,19,13,10,27.69,526.15,1979237,9.64540448,CLP,48000,96000,903.21168,53.14368831,106.2873766,yes,0.5377
14488,Ossa Doble (Poniente),Chile,RegiÃ³n Metropolitana,Santiago,https://publinet-prod.s3.amazonaws.com/displays-pictures/14488-643ea81fa6586.jpg,OOH Chile,Imagen Publicidad,-33.431191,-70.574288,outdoor,Ciudad,no,,640,369,5,3,230,19,13,10,27.69,526.15,346009,1.6862037,CLP,54000,108000,903.21168,59.78664935,119.5732987,yes,0.0535
14489,Ossa Doble (Oriente),Chile,RegiÃ³n Metropolitana,Santiago,https://publinet-prod.s3.amazonaws.com/displays-pictures/14489-643ea8412251f.jpg,OOH Chile,Imagen Publicidad,-33.431191,-70.574288,outdoor,Ciudad,no,,640,369,5,3,230,19,13,10,27.69,526.15,732275,3.56859161,CLP,54000,108000,903.21168,59.78664935,119.5732987,yes,0.0547
14490,Carretera del Cobre,Chile,O'Higgins,Cachapoal,https://publinet-prod.s3.amazonaws.com/displays-pictures/14490-643ea86d0cf25.jpg,OOH Chile,Imagen Publicidad,-34.18161441,-70.72867094,outdoor,Autopista,no,,640,512,5,4,252,19,13,10,27.69,526.15,440143,2.14494639,CLP,42000,84000,903.21168,46.50072727,93.00145454,yes,0.0602
14491,Alameda,Chile,O'Higgins,Cachapoal,https://publinet-prod.s3.amazonaws.com/displays-pictures/14491-643ea8995f168.jpg,OOH Chile,Imagen Publicidad,-34.16708288,-70.72854494,outdoor,Ciudad,no,,640,480,4,3,197,19,13,10,27.69,526.15,629119,3.06588206,CLP,42000,84000,903.21168,46.50072727,93.00145454,yes,0.0517
14492,Miguel Ramirez,Chile,O'Higgins,Cachapoal,https://publinet-prod.s3.amazonaws.com/displays-pictures/14492-643ea8c6c37d1.jpg,OOH Chile,Imagen Publicidad,-34.1752128,-70.708343,outdoor,Ciudad,no,,640,480,4,3,197,19,13,10,27.69,526.15,602935,2.93827972,CLP,42000,84000,903.21168,46.50072727,93.00145454,yes,0.0756
22279,Rodolfo ElÃ­as Calles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,